state,district,block,crop,category,query,answer,created_on
TAMILNADU,THIRUVALLUR,ELLAPURAM,Paddy (Dhan),Cereals,Asked about Top dressing management for Paddy (7-20 days),கேள்வி : நெல் மேல் உர மேலாண்மை பதில்: ஏக்கருக்கு நெல் நுண்ணூட்ட கலவை  5 கிலோவை 20 கிலோ மணல் அல்லது மக்கிய எருவுடன் கலந்து இடவும் (7 -15 நாட்கள் ),2023-03-14T07:31:14.437
TAMILNADU,THIRUVARUR,MANNARGUDI,Cotton (Kapas),Fiber Crops,Asked about cotton plus application in cotton,கேள்வி : பருத்தி செடிக்கு பருத்தி பிளஸ் பயன்படுத்துவது பற்றிய தகவல் பதில் : ஒரு ஏக்கருக்கு பருத்தி பிளஸ் 2.5 கிலோ 200 லிட்டர் நீரில் கலந்து தெளிக்க வேண்டும் .,2023-03-14T07:35:49.26
TAMILNADU,VILLUPPURAM,THIRUVENNAINALLUR,Cowpea (Vegetable),Vegetables,Asking about cowpea sowing season and varieties,"கேள்வி : காராமணி விதைப்பு பருவம் மற்றும் இரகங்கள் பதில் : பருவம் - மார்கழி முதல் தை பட்டம் வரை பயிரிடலாம். ரகங்கள் :Co(CP) 7, VBN 3",2023-03-14T07:52:28.487
TAMILNADU,TIRUCHIRAPPALLI,THOTTIAM,Chillies,Vegetables,Asked about sowing season of chilli,கேள்வி : மிளகாய் விதைப்பு பருவம் பதில் :ஜூன்  - ஜூலை,2023-03-14T11:38:49.24
TAMILNADU,THIRUVARUR,TIRUTTURAIPPUNDI,Cotton (Kapas),Fiber Crops,Asked about Weed management for Cotton,கேள்வி: பருத்தி செடியில் களை மேலாண்மை  பதில்: களைக்கொல்லி தெளிக்க கூடாது ;கை களை எடுக்கலாம்,2023-03-14T11:40:16.333
TAMILNADU,TIRUCHIRAPPALLI,THOTTIAM,Brinjal,Vegetables,Asked about  foliar application for Brinjal,கேள்வி :  கத்திரி செடிக்கு  இலை வழி உரமிடல் பதில் :ஒரு லிட்டர் தண்ணீருக்கு  நைட்ரோ பென்சீன் 2 மில்லி என்ற அளவில் கலந்து தெளிக்க வேண்டும்,2023-03-14T11:42:19.96
TAMILNADU,TENKASI,0   ,Paddy (Dhan),Cereals,Farmer asked query on Weather,கேள்வி: தென்காசி மாவட்டம் ஆலங்குளம் வட்டம் வானிலை நிலவரம் பதில்: இன்று  மழைக்கு வாய்ப்பு இல்லை இன்று எதிர்பார்க்கப்படும் அதிகபட்ச வெப்பநிலை 34 ° C மற்றும் குறைந்தபட்ச வெப்பநிலை 25° C மற்றும் காற்றின் வேகம் மணிக்கு 12 கிலோமீட்டர் வேகத்தில் வீசும்,2023-03-14T13:01:58.753
TAMILNADU,MAYILADUTHURAI,0   ,Coconut,Plantation Crops,Asked about Spiraling whitefly and Sooty mold management for Coconut,"கேள்வி : தென்னையில் சுருள் வெள்ளை ஈ மேலாண்மை மற்றும் கரும்பூஞ்சாணத்தை தடுக்க பதில் :  வேப்ப எண்ணெய் 3 மில்லி + ஒட்டும் திரவம் 1 மில்லி /1 லிட்டர் நீரில் கலந்து தெளிக்கவும் , மஞ்சள் வண்ண ஒட்டு பொறி (நீளம் 3 அடி .அகலம் 1 அடி)ஒரு ஏக்கருக்கு 10  வீதம் வைக்கலாம், கரும்பூஞ்சாணத்தை தடுக்க மைதாமாவு கரைசலை ஒரு லிட்டர் நீருக்கு 5  கிலோ கலந்து வேகவைத்து ,பின் ஆற வைத்து மறுபடியும் 20  லிட்டர் நீரில் கலந்து தெளிக்கவும்",2023-03-14T13:07:35.897
TAMILNADU,VILLUPPURAM,MARAKKANAM,Paddy (Dhan),Cereals,Asked about Basal fertilizer management for Paddy,"கேள்வி : நெல் அடி உர மேலாண்மை பதில்: தொழு உரம் 5 டன் , DAP 50 கிலோ, ஜின்க் சல்பேட்  10 கிலோ, வேப்பம் புண்ணாக்கு 10 கிலோ/ ஏக்கருக்கு இடவும்",2023-03-14T13:13:57.89
TAMILNADU,ARIYALUR,ARIYALUR,Cotton (Kapas),Fiber Crops,Farmer asked price detail of Cotton in Theni mandi.,"14/03/2023
Mandi  : Theni
Commodity : Cotton
(Modal Price): 7300/Quintal",2023-03-14T13:20:08.15
TAMILNADU,CUDDALORE,NALLUR,FingerMillet  (Ragi/Mandika),Millets,Asked about Ragi sowing season and varieties,"கேள்வி : கேழ்வரகு விதைக்கும் பருவம் மற்றும் இரகங்கள் பதில் :  சித்திரைப்பட்டம்  இரகங்கள் : CO (Ra) 14 , CO 15",2023-03-14T13:56:07.393
TAMILNADU,VILLUPPURAM,OLAKKUR,Paddy (Dhan),Cereals,Asked about Blast  management for paddy,கேள்வி: நெல் பயிரில் குலை நோய் தாக்குதல்  மேலாண்மை பதில் :ஒரு லிட்டர் தண்ணீருக்கு  பேசில்லஸ் சப்டில்லஸ்  அல்லது  சூடோமோனாஸ் 5 கிராம் என்ற அளவில்  கலந்து தெளிக்க வேண்டும்,2023-03-14T13:57:45.347
TAMILNADU,CUDDALORE,NALLUR,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),Millets,Asked about Required seed rate for Cumbu,கேள்வி : கம்பு விதை அளவு பதில் : நேரடி விதைப்பு ஏக்கருக்கு 2 கிலோ விதை தேவைப்படும்,2023-03-14T13:58:36.45
TAMILNADU,VILLUPPURAM,OLAKKUR,Paddy (Dhan),Cereals,Asked about stem borer & Blast disease Management for Paddy,கேள்வி : நெல் பயிரில் இலை புள்ளி & குருத்துப்பூச்சி தாக்குதல் பதில் : ஒரு லிட்டர் தண்ணீருக்கு பிப்ரோனில் 2 மில்லி +கார்பன்டசிம் 2 கிராம்   என்ற அளவில் கலந்து தெளிக்க வேண்டும்.,2023-03-14T13:59:15.387
TAMILNADU,VILLUPPURAM,OLAKKUR,Chillies,Vegetables,Asked about thrips management in chilli,கேள்வி : மிளகாய் செடியில் இலைப்பேன் தாக்குதல் கட்டுப்பாடு பதில் :1 லிட்டர் தண்ணீரில் பிப்ரோனில்  2 மிலி கலந்து தெளிக்கவும்,2023-03-14T13:59:48.693
TAMILNADU,CUDDALORE,NALLUR,Sesame (Gingelly/Til)/Sesamum,Oilseeds,Asked about sesame sowing season,கேள்வி; எள் விதைப்பு பட்டம் பதில்; ஆடிப்பட்டம் விதைக்கலாம்,2023-03-14T14:13:20.817
TAMILNADU,MADURAI,KOTTAMPATTI,Others,Others,Asking about PM Kisan samman nidhi PFMS status information,கேள்வி:பிஎம் கிசான் சம்மன் நிதி திட்டத்தில் தவணை தொடர்பாக பதில்: வேளாண்மை துறை மூலம் ஆவணங்கள் சரிபார்க்கப்பட்டு இருப்பின் வரும் நாட்களில் வரவு வைக்கப்படும்.,2023-03-14T14:14:23.467
TAMILNADU,TIRUNELVELI,RADHAPURAM,Brinjal,Vegetables,Asking about Shoot and fruit borer management in brinjal,கேள்வி: கத்தரியில் குருத்து மற்றும் காய்த்துளைப்பான் தாக்குதல் ; பதில் : ஒரு ஏக்கருக்கு 5 என்ற வீதத்தில் இனக்கவர்ச்சி பொறி மற்றும்  ஒரு விளக்குப் பொறியை வைக்க வேண்டும்,2023-03-14T14:30:59.747
TAMILNADU,VILLUPPURAM,VANUR,Tapioca (Cassava),Sugar and Starch Crops,Asked about tapioca fertigation schedule (Tuber development stage),கேள்வி :  மரவள்ளி உரப்பாசனம் பதில் : 19:19:19 - 5 kg /ac + 0:0:50  - 57 kg /ac +urea - 22 kg ஒரு ஏக்கருக்கு பத்து நாட்கள் இடைவெளியில் 9 முறை பிரித்துக் கொடுக்க வேண்டும்,2023-03-14T14:44:02.387
TAMILNADU,KANCHEEPURAM,KANCHIPURAM,Paddy (Dhan),Cereals,Asked about Paddy Ear head bug management,கேள்வி: நெல்லில் கதிர் நாவாய் பூச்சி மற்றும் வண்டு தாக்குதல் பதில்: வசம்பு தூள் - 5 கிலோ + சாம்பல் - 5 கிலோ + மணல் - 10  கிலோ கலந்து ஒரு ஏக்கருக்கு போடவேண்டும்,2023-03-14T14:54:46.847
TAMILNADU,CHENNAI(MADRAS),CHENNAI,Mango,Fruits,Asked about sucking pest management for Mango,கேள்வி : மாமரத்தில் சாறு உறிஞ்சும் பூச்சி   தாக்குதல் கட்டுப்பாடு பதில் :ஒரு லிட்டர் தண்ணீருக்கு அசாடிராக்டின் 3 மிலி என்ற அளவில் கலந்து தெளிக்கவும்,2023-03-14T08:59:26.087
TAMILNADU,THANJAVUR,AMMAPETTAI,Others,Others,Asking about Neem oil preparation method information,கேள்வி:வேப்ப எண்ணெய் கரைசல் தயாரித்தல் பதில் : வேப்ப எண்ணெய் 3 மில்லி + ஒட்டு திரவம் 1 மில்லி மருந்தினை 1 லிட்டர் தண்ணீரில் கலந்து தெளிக்க வேண்டும்,2023-03-14T09:02:28.277
TAMILNADU,TIRUVANNAMALAI,THANDRAMPET,Marigold,Flowers,Asked about Marigold Basal fertilizer application,கேள்வி : செண்டுமல்லி அடி உர மேலாண்மை பதில் : யூரியா 39  கிலோ + சூப்பர் பாஸ்பேட் 225  கிலோ + பொட்டாஷ் 50  கிலோ  / ஏக்கர்,2023-03-14T09:19:59.827
TAMILNADU,TIRUPUR,Kangyam,Coconut,Plantation Crops,Asked about coconut tonic availability information,"கேள்வி :தென்னை டானிக் கிடைக்கும் இடம் பதில் :தொடர்புக்கு  பயிர் வினையியல் துறை , தமிழ்நாடு வேளாண்மைப் பல்கலைக்கழகம், தொலைபேசி எண்- 0422 - 6611243",2023-03-14T09:32:20.24
TAMILNADU,TIRUVANNAMALAI,THANDRAMPET,Paddy (Dhan),Cereals,Asked about suitable paddy varieties for samba season information,"கேள்வி: சம்பா பருவத்திற்கு ஏற்ற நெல் ரகங்கள் தொடர்பான தகவல் பதில்: ADT38, ADT39, ADT(R)46, ADT54, ADT58, TKM13, VGD1, Improved White Ponni, CO43, CO(R)50, CO52, CO56, CO57, TRY3, IR20, CORH4",2023-08-16T07:58:18.383
TAMILNADU,NAGAPATTINAM,THIRUMARUGAL,Others,Others,Asked about Agricultural subsidy information,"கேள்வி: விவசாயிகளுக்கு குருவை தொகுப்பு தொடர்பான தகவல்
பதில்: உதவி வேளாண் இயக்குனரை தொடர்பு கொள்ளவும், தொடர்பு எண்: 04365242351",2023-08-16T08:12:04.557
TAMILNADU,PUDUKKOTTAI,ANNAVASAL,Tomato,Vegetables,asked about flower dropping management in tomato,"கேள்வி: தக்காளி பூ உதிர்தல் : பதில்: 10 லிட்டர் நீருக்கு அரப்பு மோர் கரைசல் 1 லிட்டர் என்ற அளவில் கலந்து தெளிக்கவும் ,
10 லிட்டர் நீருக்கு பிளநோபிக்ஸ் 5 மில்லி என்ற அளவில் கலந்து தெளிக்கவும்",2023-08-16T08:17:29.087
TAMILNADU,DHARMAPURI,PAPPIREDDIPATTY,Groundnut (pea nut/mung phalli),Oilseeds,Asked about groundnut top fertilizer management,கேள்வி : மணிலா மேலுரம் பதில் :  யூரியா 10 கிலோ +பொட்டாஷ் 25 கிலோ+ ஜிப்சம் 75 கிலோ + போராக்ஸ் 4 கிலோ 45 வது நாள் ஒரு ஏக்கருக்கு போட வேண்டும்.,2023-08-14T10:32:06.76
TAMILNADU,KANCHEEPURAM,UTTIRAMERUR,Others,Others,Farmer asked query on Weather,கேள்வி:அறுவடை காரணத்துக்காக மழை நிலவர தகவல் பதில்:இன்று லேசான மழை வர வாய்ப்பு உண்டு அதிகபட்ச வெப்பநிலை 36 டிகிரி செல்சியசாகவும் குறைந்தபட்ச வெப்பநிலை 26டிகிரி செல்சியசாகவும் காற்றின் வேகம் 13  கிலோமீட்டர் /மணிக்கு என்ற அளவிலும் இருக்கும்.,2023-08-14T10:32:15.59
TAMILNADU,TIRUVANNAMALAI,THANDRAMPET,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),Millets,Asked about pearl millet sowing season,கேள்வி: கம்பு பயிரிடும் பருவம் பதில்: ஜூன் ஜூலை மாதத்தில் பயிரிடலாம்,2023-06-06T18:55:38.94
TAMILNADU,ERODE,PERUNDURAI,Banana,Fruits,Asked about need for banana suckers,கேள்வி; வாழை கிழங்கு தேவை     பதில்; தேசிய வாழை ஆராய்ச்சி மையத்தை அணுகவும் போன்;0431-2618125,2023-06-06T19:22:37.833
TAMILNADU,CUDDALORE,0   ,Paddy (Dhan),Cereals,asking about Gall midge and Thrips management in paddy,கேள்வி: நெல் ஆனைக் கொம்பன் ஈ மற்றும் இலைபேன் தாக்குதல் : பதில்: ஒரு லிட்டர் நீருக்கு பிப்ரோனில் மருந்தினை 1.5 மில்லி என்ற அளவில் கலந்து தெளிக்கவும்,2023-06-06T20:03:34.593
TAMILNADU,TIRUPATTUR,0   ,Paddy (Dhan),Cereals,Asking about suitable varieties for paddy in Kuruvai season,"கேள்வி: குறுவை (ஜூன்- ஜூலை ) பட்டத்திற்கு  உகந்த நெல் இரகங்கள் ; பதில்: ADT 36, ADT 37, ASD 16, ASD 18, MDU 5, IR 50, ADT 43, ADT (R) 45, ADT (R) 47, ADT (R) 48, CO 47, CORH 3",2023-06-06T20:33:33.517
TAMILNADU,CUDDALORE,KAMMAPURAM,Paddy (Dhan),Cereals,When can it rain after spraying herbicides?,கேள்வி : களைக்கொல்லி தெளித்த பின் எப்பொழுது மழை பெய்யலாம் பதில் :இரண்டு நாட்களுக்குப்பின்  மழை பொழிவது சிறந்தது,2023-06-05T08:17:11.423
TAMILNADU,SALEM,KOLATHUR,Banana,Fruits,Asked about banana fruit size increases,கேள்வி : வாழை இலை வழி உரம் பதில் : பொட்டாஷியம்  சல்பேட் 10 – 15 கிராம் ஒரு லிட்டர் நீரில் கலந்து தெளிக்கவேண்டும்.,2023-06-05T08:33:40.623
TAMILNADU,CUDDALORE,MELBHUVANAGIRI,Sesame (Gingelly/Til)/Sesamum,Oilseeds,Asked about Sesame Harvesting information,கேள்வி : எள் அறுவடை தகவல் பதில் : செடியின் அடி இலைகள் பழுத்து கொட்டிவிடும் மற்றும் செடியின் அடியிலிருந்து மேலாக உள்ள 10வது காயில் உள்ள விதைகள் கருப்பாக இருந்தால் அறுவடை செய்யலாம். அறுவடை செய்த செடியினை வட்ட வடிவில் அடுக்கி 3 நாட்களுக்கு பட்டரை போட வேண்டும். பின்பு செடியினை உலுக்கினால் 70 சதம் விதைகள் கொட்டிவிடும்.,2023-06-05T08:59:49.147
TAMILNADU,RAMANATHAPURAM,TIRUPPULLANI,Others,Others,Asked about Betelvine Planting information,"கேள்வி : வெற்றிலை பயிரிடும் முறை பதில் : தாய் கொடியின் நுனியிலிருந்து முதல் மூன்று அடி வரை நறுக்கி, அதனை மூன்று துண்டுகளாக்கி நடவு செய்ய வேண்டும். விதைக்கொடிகளில் 4 – 5 கணுக்கள் இருக்க வேண்டும்.",2023-06-05T09:11:36.173
TAMILNADU,TIRUVANNAMALAI,VANDAVASI,Radish,Vegetables,Asked about Radish sowing season information,"கேள்வி: முள்ளங்கி நடவு பருவம் பற்றிய தகவல் பதில்: மலைப் பகுதிகளுக்கு ஜூன் - ஜூலை மாதங்கள் ஏற்றது, சமவெளிப் பகுதிகளுக்கு பயிர் செப்டம்பர் மாதங்களில் பயிர் செய்யலாம்",2023-06-05T09:11:46.25
TAMILNADU,ERODE,MODAKURICHI,Others,Others,Farmer asked query on Weather,கேள்வி:தோகை தூள் ஆக்கும் காரணத்துக்காக மழை நிலவர தகவல் பதில்:இன்று லேசான மழை வர வாய்ப்பு உண்டு அதிகபட்ச வெப்பநிலை 38 டிகிரி செல்சியசாகவும் குறைந்தபட்ச வெப்பநிலை 26 டிகிரி செல்சியசாகவும் காற்றின் வேகம் 18 கிலோமீட்டர் /மணிக்கு என்ற அளவிலும் இருக்கும்.,2023-06-05T16:46:21.813
TAMILNADU,CUDDALORE,KOMARATCHI,Others,Others,Farmer asked query on Weather,"கேள்வி : கடலூர்  மாவட்டம்  வானிலை நிலவரம் 
பதில் : இன்று மற்றும் நாளை வானம் மேகமூட்டமாகவும், லேசான மலை வரவும் வாய்ப்பு உள்ளது . அதிகபட்ச வெப்பநிலை 37 டிகிரி செல்சியஸ், குறைந்தபட்ச வெப்பநிலை 26 டிகிரி செல்சியஸ் ,காற்றின் வேகம் மணிக்கு 13 கிலோமீட்டர்",2023-06-05T16:47:27.74
