StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
MADHYA PRADESH,JABALPUR,PATAN,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked query on Mandi details,"02/02/2023
मंडी : जबलपुर
वस्तु : बंगाल ग्राम (ग्राम) (संपूर्ण)
(मॉडल कीमत): 4535/क्विंटल",2023-02-03T14:08:37.82,2023,2
HARYANA,SIRSA,SIRSA,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"Information regarding how to improve growth in wheat crop?																									
",गेहू की अच्छी बढ़वार व फुटाव के लिए आप 250 मिली बायोबीटा या 250 मिली सागरिका को 100 लीटर पानी में मिलाकर प्रति एकड़ के हिसाब से छिड़काव करें।																									,2023-02-03T14:08:48.787,2023,2
ODISHA,NAYAGARH,DASAPALLA,NA,AGRICULTURE,Others,Others,Government Schemes,Mandi registration related ,Advised to contact mandi helpline no.1967,2023-02-03T14:09:14.853,2023,2
GUJARAT,Gir Somnath,PATAN VERAVAL,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Cultural Practices,Farmer asked  Fertilizer dose information of Black gram crop ,"અડદના પાકમાં પાયાના ખાતર તરીકે- , એસેસપી 38 કિલો અથવા ૨૦-૨૦-૦૦-૧૩ (23 કી.ગ્રા)  DAP 13 કિલો પ્રતિ વિઘાએ પાયામાં આપવું.તથા ૩૦ દિવસે જરૂર જણાય તો એમોનિયમ સલ્ફેટ (7-8 કી.ગ્રા) પ્રતિ વિઘાએ આપવું ",2023-02-03T14:09:42.31,2023,2
HARYANA,HISSAR,HANSI-II,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,आपके जिले में मौसम का हाल परिवर्तनशील बना हुआ है बारिश की संभावना नहीं है अधिकतम तापमान 22 डिग्री  सेंटीग्रेड व न्यूनतम तापमान 11 डिग्री सेंटीग्रेड व  हवा की गति 15 से 20 किलोमीटर प्रति घंटे की रफ्तार से चलने की संभावना बनी हुई है,2023-02-03T14:10:11.48,2023,2
UTTAR PRADESH,FAIZABAD,SOHAWAL,NA,AGRICULTURE,Others,Others,Government Schemes,Information about PM- Kisan Samman Nidhi Yojana (PM- KSNY) .....?,श्रीमान जी पीएम किसान सम्मान निधि योजना से संबन्धित समस्या के निदान हेतु कृषि निदेशालय के टोल फ्री नंबर 1800 180 1488. पर संपर्क करें |,2023-02-03T14:10:30.683,2023,2
RAJASTHAN,KARAULI,KARAULI,NA,AGRICULTURE,Others,Others,Government Schemes, Ask about information on  PM - KISAN beneficiary status	,પ્રધાનમંત્રી કિસાન સમ્માન નિધિ યોજના નું બેનેફિશ્યિરી સ્ટેટ્સ ચેક કરવા માટે આ લિંક ઉપર ક્લિક કરો https://pmkisan.gov.in/beneficiarystatus.aspx,2023-02-03T14:10:32.633,2023,2
WEST BENGAL,HOOGHLY,POLBA-DADPUR,NA,HORTICULTURE,Vegetables,Potato,	Plant Protection	,ASKING ABOUT CATERPILLAR IN POTATO.," SPRAY   FLUBENDIAMIDE 39.35% SC @ 1 ML  / 5  LIT OF WATER.

",2023-02-03T14:12:16.42,2023,2
MAHARASHTRA,YEVATMAL,MAHAGAON,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,Farmer asked price detail of Cotton in Kinwat mandi.,"02/02/2023
Mandi  : Kinwat
Commodity : Cotton
(Modal Price): 7700/Quintal",2023-02-03T14:12:19.023,2023,2
PUNJAB,MUKTSAR,MALOUT,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"Information regarding the foliar spray for increasing grain yield of Wheat?
",ਕਣਕ ਦੀ ਫਸਲ ਤੋਂ ਵੱਧ ਝਾੜ ਲੈਣ ਲਈ 2% ਪੋਟਾਸ਼ੀਅਮ ਨਾਈਟਰੇਟ ਐੱਨ.ਪੀ.ਕੇ 13:00:45 (2 ਕਿਲੋ ਐੱਨ.ਪੀ.ਕੇ 13:00:45 ਨੂੰ 100 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ) ਦਾ ਗੋਭ ਵਾਲਾ ਪੱਤਾ ਨਿਕਲਣ ਵੇਲੇ ਅਤੇ ਬੂਰ ਪੈਣ ਵੇਲੇ ਛਿੜਕਾਅ ਕਰੋ ,2023-02-03T14:12:21.99,2023,2
PUNJAB,FAZILKA,ABOHAR,NA,HORTICULTURE,Fruits,Citrus,Nutrient Management,"Information regarding prepration of bordeaux mixture?
",ਬੋਰਡੋ ਮਿਸ਼ਰਣ 2:2:250 ਤਿਆਰ ਕਰਨ ਲਈ 2 ਕਿਲੋ ਕਾਪਰ ਸਲਫੇਟ (ਨੀਲਾ ਥੋਥਾ) ਨੂੰ 125 ਲਿਟਰ ਗਰਮ ਪਾਣੀ ਵਿਚ ਘੋਲੋ ਅਤੇ ਦੂਜੇ ਬਰਤਨ ਵਿੱਚ 2 ਕਿਲੋ ਅਣਬੁਝਿਆ ਚੂਨਾ 125 ਲਿਟਰ ਪਾਣੀ ਵਿੱਚ ਘੋਲੋ।ਚੂਨਾ ਠੰਡਾ ਹੋਣ ਤੇ ਦੋਵੇ ਘੋਲਾਂ ਨੂੰ ਮਿਲਾ ਕੇ ਛਿੜਕਾਅ ਕਰੋ।,2023-02-03T14:13:13.47,2023,2
UTTAR PRADESH,FATEHPUR,AMAULI,NA,AGRICULTURE,Others,Others,Government Schemes,Information about of PM Kisan Samman Nidhi Yojana status..?,"श्रीमान जी पीएम- किसान सम्मान निधि योजना संबंधित अधिक जानकारी हेतु अपने ब्लॉक या फिर जिले पर उप कृषि निदेशक जी (DDA) कार्यालय से संपर्क करें | सम्बंधित अधिक जानकारी हेतु हेल्पलाइन नंबर पर संपर्क करे- 1800 180 1488. (कृषि निदेशालय,लखनऊ) या 1800115526. (नई-दिल्ली)",2023-02-03T14:13:14.513,2023,2
HARYANA,YAMUNA NAGAR,MUSTAFABAD,NA,AGRICULTURE,Others,Others,	Plant Protection	,"Information regarding how to control yellow rust in wheat crop?
","गेहूं मे पीले रतुवे व् काली बाल की रोकथाम के लिए आप  200 एम एल  टिल्ट (प्रोपिकोनाज़ोल) को 200  लीटर पानी मे मिलाकर प्रति एकड़ स्प्रे करें|
",2023-02-03T14:13:56.43,2023,2
BIHAR,SUPAUL,BASANTPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna  ,श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना की किस्त आने तक आप इंतजार करें ,2023-02-03T14:14:05.337,2023,2
GUJARAT,Devbhoomi Dwarka,KALYANPUR,NA,AGRICULTURE,Others,Others,Government Schemes, Ask about information on  PM - KISAN beneficiary status	,પ્રધાનમંત્રી કિસાન સમ્માન નિધિ યોજના નું બેનેફિશ્યિરી સ્ટેટ્સ ચેક કરવા માટે આ લિંક ઉપર ક્લિક કરો https://pmkisan.gov.in/beneficiarystatus.aspx,2023-02-03T14:15:27.487,2023,2
KARNATAKA,HASSAN,ALUR,NA,HORTICULTURE,Flowers,Crossandra,Government Schemes,"Asked about PM Kisan Samman Nidhi Yojana 
","ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ,ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  )         8277929824 08022074138 08022074163 08022074132 08022074161

",2023-02-03T14:15:30.903,2023,2
ODISHA,CUTTACK,TANGI CHOUDWAR,NA,HORTICULTURE,Flowers,Hibiscus (Gurhal),	Plant Protection	,White mealy bug in Hibiscus flower,Recommended to spray Acephate 75 SP @ 200 gm per 200 litre of water per 1 acre of land.,2023-02-03T14:16:45.627,2023,2
RAJASTHAN,SIKAR,DHOND,NA,AGRICULTURE,Vegetables,Onion,Market Information,Farmer asked price detail of Onion in Sikar mandi.,"02/02/2023
Mandi  : Sikar
Commodity : Onion
(Modal Price): 800/Quintal",2023-02-03T14:17:06.407,2023,2
WEST BENGAL,HOOGHLY,POLBA-DADPUR,NA,HORTICULTURE,Vegetables,Potato,	Plant Protection	,ASKING ABOUT APPLY  NOVALURON 5.25 % + INDOXACARB 4.5 % SC OF POTATO., SPRAY   NOVALURON 5.25 % + INDOXACARB 4.5 % SC @ 1.5 ML/LIT OF WATER.,2023-02-03T14:17:13.177,2023,2
WEST BENGAL,HOOGHLY,POLBA-DADPUR,NA,AGRICULTURE,0,0,Market Information,Farmer asked query on Mandi details,,2023-02-03T14:17:18.37,2023,2
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,HORTICULTURE,Vegetables,Chillies,Market Information,FARMER ASKED QUERY ON MARKET INFORMATION OF CHILLI?,"                                                                                                          Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	     1,700	            20,500	         27,000/Q",2023-02-03T14:17:46.327,2023,2
MADHYA PRADESH,DAMOH,PATHARIYA,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer wants know information about mukhyamantri kisan Kalyan yojana? ,किसान भाई मुख्यमंत्री किसान कल्याण योजना के तहत 1 वर्ष में ₹4000 दिए जाते हैं अर्थात 6 माह के अंतराल पर दो किस्त किसानों को दी जाती है तो अगली किस्त 1 सप्ताह में आने की संभावना है,2023-02-03T14:18:20.427,2023,2
RAJASTHAN,BARMER,BARMER,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"गुढामलानी : अगले 5 दिनों का मौसम पूर्वानुमान 03-02-2023 को जारी किया गया

दिनांक 04-02-2023 05-02-2023 06-02-2023 07-02-2023 08-02-2023 कुल/औसत
वर्षा (मिमी) 0.0 0.0 0.0 0.0 0.0 0
मैक्स। अस्थायी। (℃) 26.2 26.9 28.1 28.3 25.8 27.1
मिन। अस्थायी। (℃) 10.7 11.7 12.9 12.9 12.7 12.2
मेघ आवरण (ऑक्टा) 0 0 0 0 0 - - -
आरएच मैक्स। (%) 22 27 46 30 21 29.2
आरएच मिन। (%) 12 10 12 14 11 11.8
विंडस्पीड (किमी प्रति घंटे) 6.0 6.0 13.0 15.0 12.0 10.4
पवन दिर.(डिग्री) 259 79 214 19 71 - - -",2023-02-03T14:18:47.057,2023,2
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,HORTICULTURE,Vegetables,Chillies,Market Information,FARMER ASKED QUERY ON MARKET INFORMATION OF CHILLI?,"                                                                                                         Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI BADIGA                      	8,000	   18,500	          36,000/Q",2023-02-03T14:19:09.24,2023,2
KERALA,PATHANAMTHITTA,PARAKODE,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi scheme,"Suggested to wait for 13th installment till release.
Farmer Name : MURALI .P
Registration Status: Registration done ( KL213399594 )
eKYC Done : YES
Land Seeding: YES
Payment Status: 12th installment payment done",2023-02-03T14:19:20.393,2023,2
HIMACHAL PRADESH,BILASPUR,GHUMARWIN,NA,AGRICULTURE,Others,Others,Government Schemes,"How to Know your registration number of  PM kisan Samman NIdhi ?
",प्रधानमंत्री किसान सम्मान निधि योजना का रजिस्ट्रेशन नंबर जानने के लिए दी गए लिंक को खोलें तथा अपना योजना से जुड़ा हुआ नंबर दर्ज करें :- https://pmkisan.gov.in/KnowYour_Registration.aspx,2023-02-03T14:19:31.86,2023,2
UTTAR PRADESH,MAU,DOHRI GHAT,NA,AGRICULTURE,Others,Others,Government Schemes,Information about PM- Kisan Samman Nidhi Yojana (PM- KSNY) .....?,"श्रीमान जी जिन किसान भाइयों का भूलेख अंकन पीएम किसान पोर्टल पर नहीं हुआ है, जिसके कारण 12वीं किस्त रुक गई है| वह भूलेख अंकन के लिए अपने तहसील पर (लेखपाल/पटवारी) अथवा जिले पर उप कृषि निदेशक कार्यालय में संपर्क करें तथा भूलेख अंकन कराएं|",2023-02-03T14:19:44.323,2023,2
UTTAR PRADESH,AMBEDKAR NAGAR,RAM NAGAR,NA,AGRICULTURE,Others,Others,Government Schemes,Information about beneficiary status of PM Kisan Samman Nidhi?,--श्रीमान जी आप कृषि निदेशालय लखनऊ के नंबर 1800 180 1488 पर कॉल कर अधिक जानकारी ले सकते हैं,2023-02-03T14:21:24.303,2023,2
GUJARAT,JAMNAGAR,KALAVAD,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Cultural Practices,Farmer asked Varieties information of Sesame crop	,"તલની જાતો- ગુજરાત તલ-૩,૪,૫,૧૦ (કાળા તલ)",2023-02-03T14:21:39.73,2023,2
MAHARASHTRA,NANDED,MOKHED,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information," FARMER ASKED ABOUT MARKET RATE OF COTTON ?
","सेलू बाजारात कापसाचा बाजार दर – किमान  - ७२०० रु/क्विटल, कमाल  - ८२१५  रु/क्विटल, सरासरी - ८१५० रु/क्विटल .                                                                                                                                                                                                          ",2023-02-03T14:21:57.173,2023,2
UTTAR PRADESH,BANDA,NARAINI,NA,AGRICULTURE,Cereals,Wheat,Weather,Farmer asked query on Weather,श्रीमान जी 3 से 9 फरवरी तक आपके यहां मौसम लगभग साफ हैं हल्के फुल्के बादल हैं बूंदाबांदी एवं वर्षा होने की कोई संभावना नहीं है अधिकतम तापमान 22 डिग्री सेंटीग्रेड न्यूनतम 13 डिग्री सेंटीग्रेड हवा की गति 7 से 11 किलोमीटर प्रति घंटा हवा की दिशा उत्तरी पश्चिमी एवं दक्षिणी पश्चिमी रहने की संभावना है अतः कृषि कार्य मौसम के अनुसार करें,2023-02-03T14:22:25.703,2023,2
HIMACHAL PRADESH,MANDI,SUNDARNAGAR,NA,HORTICULTURE,Fruits,Apple,Fertilizer Use and Availability,Information regarding Micronutrient spray time in apple plants with dose ?,"सेब में मुख्य पोषक तत्वों एनपीके 19:19:19 का आधा इंच हरी पत्ती पर, एनपीके 13:00:45 गुलाबी कली अवस्था पर और एनपीके 00:00:50 फल सेटिंग पर 500 ग्राम प्रति 200 लीटर पानी में मिलाकर छिडकाव करें। सेब के पौधे पर 600 ग्राम सल्फेट ऑफ़ पोटाश (NPK 00:00:50) को 200 लीटर पानी में मिला कर तुड़ाई से 30 दिन पहले छिड़काव करे|",2023-02-03T14:22:38.73,2023,2
GUJARAT,JAMNAGAR,KALAVAD,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Cultural Practices,Farmer asked Sowing Time information of Sesame crop,ઉનાળુ તલનું વાવેતર ૨૫ જાન્યુઆરી થી ફેબ્રુઆરી મહિના માં કરવામાં આવે છે,2023-02-03T14:22:43.783,2023,2
TAMILNADU,MADURAI,T.KALLUPATTI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Post Harvest Preservation,Farmer asked query on Weather,"கேள்வி : மதுரை மாவட்டம் பாலூர் ஒன்றியம் வானிலை நிலவரம் பதில் : இன்று மற்றும் நாளை வானம் மேக மூட்டமாகவும் லேசான மழை வரவும் வாய்ப்பு உள்ளது . அதிகபட்ச வெப்பநிலை 29 டிகிரி செல்ஸியஸ் , குறைந்தபட்ச வெப்பநிலை 24 டிகிரி செல்ஸியஸ் , காற்றின் வேகம் மணிக்கு 18 கிலோ மீட்டர்",2023-02-03T14:23:04.39,2023,2
PUNJAB,GURDASPUR,BATALA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,ਅੱਜ ਮੌਸਮ ਸਾਫ ਹੈ | ਅੱਜ ਵੱਧ ਤੋਂ ਵੱਧ ਤਾਪਮਾਨ 18 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਅਤੇ ਘੱਟ ਤੋਂ ਘੱਟ ਤਾਪਮਾਨ 6 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਰਹੇਗਾ | ਹਵਾ ਦੀ ਰਫਤਾਰ 10-15 ਕਿੱਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ ਰਹੇਗੀ ,2023-02-03T14:23:13.987,2023,2
